Gruppe,enthalten in,Rückgabetyp,Name,Parameter,Beschreibung
,Programm,void,SetDialogDropCallback,"string _p_DialogKey,string _p_FunctionName","Funktion für das Setzen des Drop Callbacks auf einem Scriptdialog.
Wird beim ""dropen"" über dem Dialog ausgelöst. 
Kann nur einmal pro Dialog definiert werden, wobei für den Parameter ""_p_DialogKey""die Dialogkennung und für den Parameter ""_p_FunctionName"" der Name der aufzurufenden Callback Funktion anzugeben ist.
Bsp.:
SetDialogDropCallback(""CD"", callback Dialog_OnDrop);"
,Programm,void,SetDialogDragOverEffect,"string _p_DialogKey,long _p_DragOverEffect","Mit dieser Funktion kann das Icon für den Mauscursor beim ""dragen"" gesetzt werden, wobei jeweils die Dialogkennung und eine Konstante für das gewünschte Icon anzugeben sind."
,Programm,long,GetDropFileCount,string _p_DialogKey,"Retourniert die Anzahl Dokumente die ""gedropt"" wurden."
,Programm,string,GetDropFileName,"string _p_DialogKey,long _p_Index","Retourniert den Namen des ""gedropten"" Dokuments mit dem angegeben Index, wobei die Anzahl/Indexrange mit GetDropFileCount ermittelt werden kann."
,Programm,bool,HasProblematicDropFiles,string _p_DialogKey,"Reourniert true, wenn ein/mehrere ungültige Dokumente ""gedropt"" wurden.
Ein Dokument ist ungültig, wenn z.B. der Dateiname Zeichen eines von Borm nicht unterstützen Encodings enthält."
,Programm,void,ShowProblematicDropFiles,string _p_DialogKey,"Zeigt eine Messagebox an, welche ""gedropte"" Dateien auflistet, welche ungültig sind. Wird nur angezeigt, wenn im Drop ungültige Dateien enthalten sind."
,Programm,bool,IsDropFromFilesystem,string _p_DialogKey,"Retourniert true, wenn die ""gedropten"" Dateien nicht aus dem Dateisystem, also zum Beispiel aus dem Outlook, ""gedropt"" wurden."
,Programm,bool,SaveDropFileToFilesystem,"string _p_DialogKey,long _p_Index,string _p_FilePath","Funktion um Dateien, welche nicht aus dem Dateisystem, sondern z.B. aus dem Outlook, ""gedropt"" wurden ins Dateisystem zu speichern.
Dabei ist über den Index (_p_Index, siehe GetDropFileCount) die entsprechende Datei, sowie der neue Speicherpfad (_p_FilePath) anzugeben.
Retourniert false, falls das Speichern fehlschlägt."
,Programm,string,GetDialogElementFromCursorPosition,string _p_DialogKey,"Retourniert die Dialogelement-Kennung unter dem Cursor. Retourniert einen leeren String, wenn sich unter dem Courser kein Dialogelement befindet."
,Programm,long,GetGridRowFromCursorPosition,"string _p_DialogKey,string _p_ElementName","Retourniert die Zeilennummer des angegbenen Grids (_p_ElementName), welche sich unter dem Cursor befindet.
Wenn der Cursor nicht über dem angegebenen Element steht, wird -1 retourneirt."
,Programm,long,GetGridColumnFromCursorPosition,"string _p_DialogKey,string _p_ElementName","Retourniert die Spaltennummer des angegbenen Grids (_p_ElementName), welche sich unter dem Cursor befindet.
Wenn der Cursor nicht über dem angegebenen Element steht, wird -1 retourneirt."
,Programm,long,GetTreeNodeFromCursorPosition,"string _p_DialogKey,string _p_ElementName","Retourniert die Nodenummer des angegbenen Trees (_p_ElementName), welche sich unter dem Cursor befindet.
Wenn der Cursor nicht über dem angegebenen Element steht, wird -1 retourneirt."
,Programm,long,GetListRowFromCursorPosition,"string _p_DialogKey,string _p_ElementName","Retourniert die Zeilennummer der angegbenen Liste (_p_ElementName), welche sich unter dem Cursor befindet.
Wenn der Cursor nicht über dem angegebenen Element steht, wird -1 retourneirt."
,Programm,void,SetGridImageMode,"string __sDialogKey,string __sElementName,long __lImageMode","Mit dieser Funktion kann bestimmt werden, ob und wie Bilder im Grid skaliert
werden sollen. Die möglichen ImageMode Konstanten sind:

GRID_IMAGEMODE_STRETCH_IF_TOO_LARGE: Wenn das Bild kleiner ist als die Zelle,
wird es verkleinert, aber nicht proportional. Ansonsten wird das Bild in seiner
Orginalgrösse belassen. Dies ist der Default.

GRID_IMAGEMODE_SCALE_PROPORTIONAL: Das Bild wird proportional skaliert, so
dass es in die Zelle passt (verkleinert oder vergrössert).

GRID_IMAGEMODE_SCALE_PROPORTIONAL_IF_TOO_LARGE: Das Bild wird
proportional verkleinert, wenn es nicht ganz in die Zelle passt. Ansonsten wird es
nicht verändert/vergrössert. Achtung, diese Option ist teuer und kann bei grossen
Grids zu langer Lade- und Aktualisierungszeit führen

Der ImageMode kann nicht zur Laufzeit verändert werden, das heisst, die Funktion muss vor der Funktion InputDialog() oder StartDialog() aufgerufen werden."
,Programm,long,GRID_IMAGEMODE_STRETCH_IF_TOO_LARGE,,"Konstante für den Imagemodus im Grid, siehe SetGridImageMode."
,Programm,long,GRID_IMAGEMODE_SCALE_PROPORTIONAL,,"Konstante für den Imagemodus im Grid, siehe SetGridImageMode."
,Programm,long,GRID_IMAGEMODE_SCALE_PROPORTIONAL_IF_TOO_LARGE,,"Konstante für den Imagemodus im Grid, siehe SetGridImageMode."
,Programm,long,GetMainPane,string _p_DialogKey,"Um in einem Dialog Splitter einsetzen zu können, muss zuerst mit dieser Funktion das Handle des Haupfensters bestimmt werden."
,Programm,long,CDM_PANE_SPLIT_HORIZONTAL,,"Dies ist eine Konstante die bestimmt, wie das Dialogfenster mit einem Splitter unterteilt werden soll.
Mit dierser Konstante wird horizontal unterteilt."
,Programm,long,CDM_PANE_SPLIT_VERTICAL,,"Dies ist eine Konstante die bestimmt, wie das Dialogfenster mit einem Splitter unterteilt werden soll.
Mit dierser Konstante wird vertikal unterteilt."
,Programm,long,SplitPane,"string _p_DialogKey,long _p_SplitterPane,long _p_SplitterOrientation","Mit dieser Funktion kann ein Dialogfenster mit einem Splitter aufgeteilt werden.
Dazu wird der Key des Dialogs, sowie das Handle des Dialogfensters das geteilt werden soll benötigt.
Mit dem letzten Parameter, kann mittels Konstante angegeben werden, in welche Richtung das Dialogfenster aufgeteilt werden soll.
CDM_PANE_SPLIT_VERTICAL
CDM_PANE_SPLIT_HORIZONTAL
Die Funktion gibt das Handel des neuen Fensterteils zurück.
Wird vertikal aufgeteilt, ist dies das rechte Dialogfenster.
Wird horizontal aufgeteilt, ist dies das untere Dialogfenster."
,Programm,void,SetPaneMargin,"string __DialogKey,long __PaneHandle,long __MarginInPixel",Legt den Rahmen (Randabstand) innerhalb des gesplitteten Dialogfensters fest
,Programm,bool,AttachDialogElementToPane,"string __DialogKey,string __DialogElement,long __PaneHandle","Alle Dialogelemente müssen dem Dialogfenster zugewiesen werden, indem sie platziert werden sollen."
,Programm,long,GetResizedPane,string __DialogKey,"Die Funktion die bei Resitze gesetzt ist, wird für jedes Dialogfenster das sich verändert hat einzeln aufgerufen.
Dabei wird das Handle des aktuellen Dialogfensters zurückgegeben.
Zu diesem Fenster lassen sich dann die Grössen abfragen."
,Programm,long,GetPaneWidth,"string __DialogKey,long __PaneHandle",Gibt die Breite des angegebenen Dialogfensters zurück
,Programm,long,GetPaneHeight,"string __DialogKey,long __PaneHandle",Gibt die Höhe des angegebenen Dialogfensters zurück
,Programm,string,GetPaneSplitterLayout,string __DialogKey,"Damit kann die aktuelle Einstellung der Splitter abgefragt werden.
Dies kann, analog den Spaltenbreiten, gespeichert werden."
,Programm,void,SetPaneSplitterLayout,"string __DialogKey,string __PaneSplitterLayout","Damit kann die Einstellung der Splitter gesetzt werden.
Die Einstellung der Splitter kann, analog den Spaltenbreiten, gesetzt werden."
,Programm,long,CDM_PANE_INVALID,,"Dies ist eine Konstante mit der geprüft werden kann, ob ein erhaltenes Dialogfenster Handle ungültig ist."
,Programm,string,GetDialogWindowPlacement,string _p_DialogKey,"Damit kann die aktuelle Einstellung des Dialogfensters abgefragt werden.
Dies kann, analog den Spaltenbreiten, gespeichert werden."
,Programm,void,SetDialogWindowPlacement,"string _p_DialogKey,string _p_WindowPlacement","Damit kann die Einstellung des Dialogfensters gesetzt werden.
Die Einstellung des Dialogfensters kann, analog den Spaltenbreiten, gesetzt werden."
,Programm,GridLineStyleHandle,CDM_GRID_NO_LINESTYLE,,Dies ist eine Konstante um die Linie einer Gridzelle zu entfernen.
,Programm,GridLineStyleHandle,CreateGridLineStyle,"string __definition,string __rgbColor",Definiert einen Linienstil.
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_TOP,,Obere Zellenposition
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_LEFT,,Linke Zellenposition
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_BOTTOM,,Untere Zellenposition
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_RIGHT,,Rechte Zellenposition
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_HORIZONTAL,,Horizontale Zellenpositionen (oben/unten)
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_VERTICAL,,Vertikale Zellenpositionen (links/rechts)
,Programm,GridCellPosition,CDM_GRID_CELL_POSITION_EVERYWHERE,,Alle Zellenpositionen (links/rechts/oben/unten)
,Programm,void,SetGridCellFrame,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position,GridLineStyleHandle __LineStyleHandle",Setzt den Linienstil einer Zelle
,Programm,void,SetGridCellRangeFrame,"string __DialogKey,string __ElementName,long __FromRow,long __FromColumn,long __ToRow,long __ToColumn,GridCellPosition __Position,GridLineStyleHandle __LineStyleHandle,long __ApplyToAllCells",Setzt den Linienstil eines Bereiches
,Programm,GridLineStyleHandle,GetGridCellFrame,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position",Gibt den Linienstil einer Seite einer Zelle zurück
,Programm,void,SetGridCellMargin,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position,long __Margin","Setzt den Abstand eines Zellenelements zur Gridlinie.

Linien zeichnen ""über"" die Zellen, wenn diese mehr als 1 Pixel breit sind.
Um ein optisch anspruchsvolles Bild zu bekommen, können bei Zellen zusätzlich die Abstände definiert werden."
,Programm,void,SetGridCellRangeMargin,"string __DialogKey,string __ElementName,long __FromRow,long __FromColumn,long __ToRow,long __ToColumn,GridCellPosition __Position,long __Margin,bool __ApplyToAllCells","Setzt den Abstand mehrerer Zellenelemente zur Gridlinie.

Linien zeichnen ""über"" die Zellen, wenn diese mehr als 1 Pixel breit sind.
Um ein optisch anspruchsvolles Bild zu bekommen, können bei Zellen zusätzlich die Abstände definiert werden."
,Programm,void,SetDefaultGridCellMargin,"string __DialogKey,string __ElementName,GridCellPosition __Position,long __Margin","Legt den Standard-Abstand aller Zellen zur Gridlinie fest. Dieser wird angewendet, wenn eine Zelle keinen eigenen Rand definiert hat.

Linien zeichnen ""über"" die Zellen, wenn diese mehr als 1 Pixel breit sind.
Um ein optisch anspruchsvolles Bild zu bekommen, können bei Zellen zusätzlich die Abstände definiert werden."
,Programm,long,GetGridCellMargin,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position","Gibt den Abstand zur Gridlinie an der angegebenen Position der Zelle zurück.
Wenn die Zelle keinen eigenen Rand hat, wird der Standard-Rand des Grid zurückgegeben."
,Programm,void,SetGridCellBackgroundMargin,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position,long __Margin","Setzt den Abstand der Hintergrundfarbe einer Zelle zur Gridlinie.

Wenn eine Zelle eine Hintergrundfarbe hat, dann ist es manchmal optisch besser, wenn die Zelle nicht ganz ausgefüllt ist. (z.B. Einsatzplanung)"
,Programm,void,SetDefaultGridCellBackgroundMargin,"string __DialogKey,string __ElementName,GridCellPosition __Position,long __Margin","Legt den Standard-Abstand der Hintergrundfarbe aller Zellen zur Gridlinie fest. Dieser wird angewendet, wenn eine Zelle keinen eigenen Rand definiert hat.

Wenn eine Zelle eine Hintergrundfarbe hat, dann ist es manchmal optisch besser, wenn die Zelle nicht ganz ausgefüllt ist. (z.B. Einsatzplanung)"
,Programm,void,SetGridCellRangeBackgroundMargin,"string __DialogKey,string __ElementName,long __FromRow,long __FromColumn,long __ToRow,long __ToColumn,GridCellPosition __Position,long __Margin,bool __ApplyToAllCells","Setzt den Abstand der Hintergrundfarbe mehrerer Zellen zur Gridlinie.

Wenn eine Zelle eine Hintergrundfarbe hat, dann ist es manchmal optisch besser, wenn die Zelle nicht ganz ausgefüllt ist. (z.B. Einsatzplanung)"
,Programm,long,GetGridCellBackgroundMargin,"string __DialogKey,string __ElementName,long __Row,long __Column,GridCellPosition __Position","Gibt den Abstand des Hintergrund zur Gridlinie an der angegebenen Position der Zelle zurück.
Wenn die Zelle keinen eigenen Rand hat, wird der Standard-Rand des Grid zurückgegeben."
,Programm,void,SetGridLineColor,"string __DialogKey,string __ElementName,string __rgbColor",Setzt die Farbe der Grid-Linie
,Programm,long,BGWEBVIEW_RESULT_SUCCESSFUL,,"Konstante für die erfolgreiche Ausführung einer WebView Funktion.
Das ist ein Rückgabewert der BGWebView_GetLastResult() Funktion."
,Programm,long,BGWEBVIEW_RESULT_RUNTIME_MISSING,,"Konstante für den Fall, dass die WebView Runtime nicht installiert ist.
Das ist ein Rückgabewert der BGWebView_GetLastResult() Funktion
nach dem Aufruf von CreateDialogElement() falls die WebView Runtime
nicht installiert ist.."
,Programm,long,BGWEBVIEW_RESULT_CREATION_FAILED,,"Konstante für den Fall, dass das Erzeugen des WebView Fenster nicht geklappt hat..
Das ist ein Rückgabewert der BGWebView_GetLastResult() Funktion,
nach dem Erzeugen des Dialoges oder nach jedem WebView Funktionsaufruf,
falls das WebView Fenster nicht erzeugt werden konnte."
,Programm,long,BGWEBVIEW_RESULT_INVALID_URI,,"Konstante für eine ungültige URI.
Das ist ein Rückgabewert der BGWebView_GetLastResult() Funktion,
falls die URI beim Aufruf der BGWebView_Navigate() Funkiton ungültig ist."
,Programm,bool,BGWebView_Navigate,"string __DialogKey,string __ElementName,string __Uri","Navigiert im WEBVIEW zur angegebenen URI. Diese Funktion gibt 'false' zurück
wenn die URI ungültig ist.
Diese Funktion dient auch zur Initialisierung des WebView Elementes,
bevor der Dialog mit dem WebView Element erstellt wurde."
,Programm,string,BGWebView_GetUri,"string __DialogKey,string __ElementName","Gibt die aktuelle URI vom Dialogelement WEBVIEW zurück.
Falls im WebView Fenster ein HTML-Context angezeigt wird, wird ein
leerer String zurückgegeben."
,Programm,void,BGWebView_NavigateToString,"string __DialogKey,string __ElementName,string __HtmlContent","Wenn der WEBVIEW keine URI anzeigen soll, sonder hart codiertes HTML, dann muss diese Funktion verwendet werden.
Diese Funktion dient auch zur Initialisierung des WebView Elementes,
bevor der Dialog mit dem WebView Element erstellt wurde.

ACHTUNG: wenn der HTML Code Pfade zu lokalen Dateien oder auf Dateien
im Netzwerk (UNC-Pfade) enthält z.B. für Bilddateien, so werden diese Bilder
nicht dargestellt. Auch Links z.B. auf PDF Dateien funktionieren nicht.
Der WebView2 unterbindet das Laden von lokalen Ressourcen.
Bei Navigate() zu einer lokalen .html Datei funktioniert das Laden
von lokalen Ressourcen."
,Programm,void,BGWebView_GoBack,"string __DialogKey,string __ElementName",Navigiert im WEBVIEW eine Seite zurück
,Programm,void,BGWebView_GoForward,"string __DialogKey,string __ElementName",Navigiert im WEBVIEW eine Seite vor
,Programm,void,BGWebView_ExecuteJavaScript,"string __DialogKey,string __ElementName,string __JavaScript",Führt im Dialogelement WEBVIEW das angegebene JavaScript Quellcode aus
,Programm,long,BGWebView_GetLastResult,,"Gibt das Ergebnis der zuletzt aufgerufenen WebView Fuktion zurück oder
aber auch nach CreateDialogElement() für ein WebView DialogElement, ob
die WebView Runtime installiert ist.
Mögliche Ergebnisse:
BGWEBVIEW_RESULT_CREATION_FAILED;
BGWEBVIEW_RESULT_INVALID_URI;
BGWEBVIEW_RESULT_RUNTIME_MISSING;
BGWEBVIEW_RESULT_SUCCESSFUL;"
,Programm,long,BGWebView_GetLastMessage,,"Gibt die Meldung der zuletzt aufgerufenen WebView Fuktion zurück oder
aber auch nach CreateDialogElement() für ein WebView DialogElement, ob
die WebView Runtime installiert ist oder nicht."
,Programm,void,SetDialogHelpKey,"string _p_DialogKey,string _p_HelpKey","Setzt den Key für die Hilfe für den entsprechenden Dialog. Dieser wird dann als HLP_PROGINFO_2 ins ShowHelp (BGOnLineHelp.sct) injected (HLP_PROGINFO_1 wird mit ""DIALOG"" injected)."
,Programm,void,BGShowHelp,,Ruft die Hilfe auf. Dasselbe wie wenn der Benutzer F1 drückt.
,Programm,void,SetDialogDefaultButtons,"string __sDialogKey,string __sPrimaryButton,string __sSecondaryButton",Legt die DefaultButtons für einen Dialog fest.
,Programm,void,AcceptGridDragDrop,"string _p_DialogKey,string _p_ElementName,bool _p_AcceptDrop","Verschiebt nach der Prüfung in der Callback Funktion ""ENDDRAGDROP"" die Zellen direkt im Grid.

AcceptGridDragDrop(""CD"", ""GRID_1"",true);"
,Programm,void,SetTreeColumnColor,"string _p_DialogKey,string _p_ElementName,long _p_Column",Mittels SetTreeColumnColor kann die angegebene Treespalte mit der definierten Farbe versehen werden.
,Programm,void,EnableTreeColumnSwitch,"string _p_DialogKey,string _p_ElementName","Mit dieser Funktion kann das Schieben/Wechseln der Spaltenreihenfolge im Tree aktiviert werden.
Es ist jedoch zu beachten, dass der eigentliche Wechsel im Script nicht registriert werden kann.
Bei der Abfrage der Spaltenreihenfolge kann es somit zu ungewünschten Nebeneffekten kommen."
,Programm,long,BGColor_GetMaxContrastColor,long __lColor,"Gibt die Farbe Schwarz oder Weiss zurück, abhängig davon, welche den grösseren Kontrast zur angegebenen Farbe hat."
,Programm,long,BGColor_GetContrastColor,"long __lTextColor,long __lBackGroundColor","Prüft, ob die beiden Farben einen genügend grossen Kontrast zueinander haben.
Ist insbesondere bei Schriftfarbe und Hintergrundfarbe entscheidend, damit der Text auch gut gelesen werden kann.
Ist der Kontrast gut, wird die geprüfte Farbe zurückgegeben.
Ist der Kontrast ungenügend, wird zuerst die Farbe invertiert.
Ist dies auch noch nicht gut, wird Schwarz oder Weiss zurückgegeben."
,Programm,,SetTreeColumnOrder,"string __sDialogKey,string __sElementName,string __sColumnOrder","Setzt die Spaltenreihenfolge des angegebenen Trees, sofern das mit EnableTreeColumnSwitch() aktiviert wurde.

Die Spaltenreihenfolge wird nur gesetzt, wenn die Anzahl der angegebenen Spalten gleich der tatsächlichen Anzahl der Spalten im Tree ist."
,Programm,string,GetGridColumnWidth,"string __sDialogKey,string __sElementName,long __lColumn","Mit dieser Funktion kann die Breite einer Grid-Spalte in Pixel ausgelesen werden.

Der Rückgabewert ist '-1, falls die Spalte nicht gefunden wird."
,Programm,string,GetGridRowHeight,"string __sDialogKey,string __sElementName,long __lRow","Mit dieser Funktion kann die Höhe einer Grid-Zeile in Pixel ausgelesen werden.

Der Rückgabewert ist '-1, falls die Zeile nicht gefunden wird."
BormSTK,Programm,long,GetCurrentKSchema,,"Gibt die ID (aus Tabelle KALK_SCHEMA) des aktuellen Kalkulationsschemas zurück.
Steht in allen Stücklisten zur Verfügung, da jedoch die Kalkulation nur in der Angebotskalkulationsstückliste zur Verfügung steht wird dort auch ein Wert zurück gegeben."
,Programm,long,GetCurrentAnsatzM,,"Gibt die ID (aus Tabelle KALK_ANSATZ_MAT) des aktuellen Ansatzes des Materials zurück.
Steht in allen Stücklisten zur Verfügung, da jedoch die Kalkulation nur in der Angebotskalkulationsstückliste zur Verfügung steht wird dort auch ein Wert zurück gegeben."
,Programm,long,GetCurrentAnsatzF,,"Gibt die ID (aus Tabelle KALK_ANSATZ_FERT) des aktuellen Ansatzes der Fertigung zurück.
Steht in allen Stücklisten zur Verfügung, da jedoch die Kalkulation nur in der Angebotskalkulationsstückliste zur Verfügung steht wird dort auch ein Wert zurück gegeben."
,Programm,long,GetCurrentAnsatzZ,,"Gibt die ID (aus Tabelle KALK_ANSATZ_ZUSCL) des aktuellen Ansatzes der Zuschläge zurück.
Steht in allen Stücklisten zur Verfügung, da jedoch die Kalkulation nur in der Angebotskalkulationsstückliste zur Verfügung steht wird dort auch ein Wert zurück gegeben."
,Programm,long,GetCurrentRZOption,,
,Programm,long,GetCurrentRKFMethode,,"Gibt die ID (aus Tabelle PK_RZ_VARIANTEN) des aktuellen Rüstzeitzusammenzugs zurück.
Steht in allen Stücklisten zur Verfügung, da jedoch die Kalkulation nur in der Angebotskalkulationsstückliste zur Verfügung steht wird dort auch ein Wert zurück gegeben."
,Programm,long,GetCurrentKSchemaCount,,"Mit diesen Funktionen kann man das aktuelle Kalkulationsschema „durchlaufen“

for (i=0; i< GetCurrentKSchemaCount(); ++i)
{
	GetCurrentKSchemaCode(i);
}"
,Programm,string,GetCurrentKSchemaCode,long idx,"Ermittelt den aktuellen Schemacode
siehe GetCurrentKSchemaCount"
,Programm,long,GetCurrentKSchemaCodeIndex,string CalcCode,"Ermittelt den aktuellen KalkSchema Code Index.
siehe GetCurrentKSchemaCount"
,Programm,string,GetCurrentKSchemaCodeBez,long idx,"Ermittelt die Bezeichnung des des aktuellen Kalkschemacodes.
siehe GetCurrentKSchemaCount"
,Programm,double,GetCurrentKSchemaAnsatz,long idx,"Ermittelt den aktuellen Ansatz.
siehe GetCurrentKSchemaCount"
,Programm,double,GetCurrentKSchemaWert,"long Node,long idx","Ermittelt den Wert des aktuellen KalkCodes.
siehe GetCurrentKSchemaCount"
,Programm,void,LockNode,long _lNode,Sperrt den angegebenen Node in der Stückliste
,Programm,void,UnLockNode,long __lNode,Entsperrt den angegebenen Node in der Stückliste
,Programm,void,SetReturnAllChildren,bool bRetAll,"Bei den Script-Extensions sollte es Funktionen geben, die genau wie bei den Parents, es erlauben, alle Childs, unabhängig auf welcher Stufe, zu durchlaufen.
Um die Anzahl der Funktionen zu reduzieren kann man mit nur einer Funktion umschalten, ob die direkten Childs oder alle Childs bei den Child-Funktionen berücksichtigt werden sollen"
,Programm,,GetCurrentArbNode,,Gibt den Node des aktuellen Arbeitsgang zurück.
,Programm,,GetSelectedArbNodeCount,,Gibt die Anzahl der selektierten Arbeitsgänge zurück.
,Programm,,GetSelectedArbNode,long lIndex,Gibt den selektierten Arbeitsgang am angegebenen Index zurück.
,Programm,,GetArbValueAsLong,string sFieldName,Gibt den Wert des angegebenen Feldes des aktuellen Arbeitsgang.
,Programm,,GetArbValueAsDouble,string sFieldName,Gibt den Wert des angegebenen Feldes des aktuellen Arbeitsgang.
,Programm,,GetArbValueAsString,string sFieldName,Gibt den Wert des angegebenen Feldes des aktuellen Arbeitsgang.
,Programm,,SetArbValue,"string sFieldName,string sValue",Setzt den Wert des angegebenen Feldes des aktuellen Arbeitsgang.
,Programm,,GetArbNodeValueAsLong,"long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der aktuellen Stücklistenposition zurück.
,Programm,,GetArbNodeValueAsDouble,"long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der aktuellen Stücklistenposition zurück.
,Programm,,GetArbNodeValueAsString,"long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der aktuellen Stücklistenposition zurück.
,Programm,,SetArbNodeValue,"long lArbNodeHandle,string sFieldName,string sValue",Setzt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der aktuellen Stücklistenposition.
,Programm,,CalculateArbNode,long lArbNodeHandle,Führt das BormScript des angegebenen Arbeitsgang der aktuellen Stücklistenposition aus.
,Programm,,InsertArbNode,long lIndex,"Fügt einen neuen Arbeitsgang an der angegebenen Position der aktuellen Stücklistenposition ein und gibt dessen Node zurück.

Ist der angegebene Index kleiner 0, wird kein Arbeitsgang eingefügt.

Ist der angegebene Index grösser oder gleich der Anzahl der Arbeitsgänge, wird der neue Arbeitsgang als letzer Arbeitsgang eingefügt."
,Programm,,DeleteArbNode,long lIndex,"Löcht den Arbeitsgang der aktuellen Stücklistenposition am angegebenen Index..

Rückgabewert 1 ... erfolgreich, 0 ... nicht erfolgreich (Arbeitsgang nicht gefunden)"
,Programm,,GetStkArbNodeCount,long lStkNodeHandle,Gibt die Anzahl der Arbeitsgänge der angegebenen Stücklistenposition zurück.
,Programm,,GetArbNode,long lIndex,Gibt den Arbeistgang am angegebenen Index der aktuellen Stücklistenposition zurück.
,Programm,,GetStkArbNode,"long lStkNodeHandle,long lIndex",Gibt den Arbeistgang am angegebenen Index der angegebenen Stücklistenposition zurück.
,Programm,,GetStkArbNodeValueAsLong,"long lStkNodeHandle,long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der angegebenen Stücklistenposition zurück.
,Programm,,GetStkArbNodeValueAsDouble,"long lStkNodeHandle,long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der angegebenen Stücklistenposition zurück.
,Programm,,GetStkArbNodeValueAsString,"long lStkNodeHandle,long lArbNodeHandle,string sFieldName",Gibt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der angegebenen Stücklistenposition zurück.
,Programm,,SetStkArbNodeValue,"long lStkNodeHandle,long lArbNodeHandle,string sFieldName,string sValue",Setzt den Wert des angegebenen Feldes des angegebenen Arbeitsgang der angegebenen Stücklistenposition.
,Programm,,InsertStkArbNode,"long lStkNodeHandle,long lIndex","Fügt einen neuen Arbeitsgang an der angegebenen Position der angegebenen Stücklistenposition ein und gibt dessen Node zurück.

Ist der angegebene Index kleiner 0, wird kein Arbeitsgang eingefügt.

Ist der angegebene Index grösser oder gleich der Anzahl der Arbeitsgänge, wird der neue Arbeitsgang als letzer Arbeitsgang eingefügt."
,Programm,,DeleteStkArbNode,"long lStkNodeHandle,long lIndex","Löcht den Arbeitsgang der angegebenen Stücklistenposition am angegebenen Index..

Rückgabewert 1 ... erfolgreich, 0 ... nicht erfolgreich (Arbeitsgang nicht gefunden)"
,Programm,,CalculateStkArbNode,"long lStkNodeHandle,long lArbNodeHandle",Führt das BormScript des angegebenen Arbeitsgang der angegebenen Stücklistenposition aus.
,Programm,,GetArbNodeCount,,Gibt die Anzahl der Arbeitsgänge der aktuellen Stücklistenposition zurück.
,Programm,,AddArbNode,,Fügt einen neuen Arbeitsgang am Ende der Arbeitsgänge der aktuellen Stücklistenposition an.
,Programm,,AddStkArbNode,long lStkNodeHandle,Fügt einen neuen Arbeitsgang am Ende der Arbeitsgänge der angegebenen Stücklistenposition an.
MSExcel,Programm,void,XLSetCompleteInsideBorder,"string __FromRange,string __ToRange",Umrahmt jede Zelle im gewählten Bereich
,Programm,void,SetExportProgressRange,long __pRange,"Setzt den Bereich in dem sich der Scrollbalken im Druckdialog bewegen soll.
Dies setzt voraus, das man während der Ausgabe den Fortschritt mit StepExportProgress() weiter bewegt.
Wenn man z.B. den Wert 60 setzt muss StepExportProgress() 60 mal aufgerufen werden damit der Fortschrittbalken ganz rechts steht. Das Programm beginnt automatisch wieder von vorne wenn dieser Wert erreicht wurde."
,Programm,long,XLGetWorksheetCount,,Retourniert die Anzahl der im Dokument enthaltenen Worksheets.
,Programm,long,XLGetWorksheetIndex,string __sWorksheetName,"Gibt die Position (Reihenfolge) des angegebenen Worksheets (Titel) im Dokument zurüc?k. Retourniert 0, wenn kein Dokument gefunden wurde."
,Programm,string,XLGetWorksheetName,long __lWorksheetIndex,"Retourniert den Namen des Worksheets, welches sich an der angegebenen Position (Reihenfolge) befindet. Gibt einen leeren String zurück wenn kein Worksheet an der Position vorhanden ist."
,Programm,long,XLGetActiveWorksheetIndex,,Retourniert den Index (Position/Reihenfolge) des aktiven Worksheets.
,Programm,bool,XLRenameWorksheetByIndex,"long __lWorksheetIndex,string __sNewWorksheetName",Ändert den Namen des Worksheets an der angegbenen Position.
,Programm,long,XLInsertWorksheet,"long __lWorksheetIndex,string __sWorksheetName","Fügt ein Worksheet mit dem angegebene Namen an der definierten 
Position ein."
